Datetime,PJMW_MW
6/9/2004,6609.25
6/10/2004,6359.958333
6/11/2004,5669.666667
6/12/2004,5150.791667
6/13/2004,5156.916667
6/14/2004,6261.5
6/15/2004,6391.041667
6/16/2004,6345.791667
6/17/2004,6568.208333
6/18/2004,6506
6/19/2004,5556.458333
6/20/2004,4801.708333
6/21/2004,5570.083333
6/22/2004,6060.375
6/23/2004,6009.375
6/24/2004,6101.5
6/25/2004,5925.666667
6/26/2004,5234.166667
6/27/2004,4920.208333
6/28/2004,5515.875
6/29/2004,5578.666667
6/30/2004,5760
7/1/2004,6027.166667
7/2/2004,6138.583333
7/3/2004,5754.458333
7/4/2004,5516
7/5/2004,5901
7/6/2004,6200.166667
7/7/2004,6216.625
7/8/2004,5975.541667
7/9/2004,5900.666667
7/10/2004,5573.416667
7/11/2004,5788.208333
7/12/2004,6477.708333
7/13/2004,6546.791667
7/14/2004,6380.25
7/15/2004,5877
7/16/2004,5926.166667
7/17/2004,5382.625
7/18/2004,5201.333333
7/19/2004,5857.916667
7/20/2004,6094.958333
7/21/2004,6427.583333
7/22/2004,6360.375
7/23/2004,6183.083333
7/24/2004,5461.125
7/25/2004,5185.083333
7/26/2004,5911
7/27/2004,6057.083333
7/28/2004,6003.916667
7/29/2004,6105.041667
7/30/2004,6377.291667
7/31/2004,5850.541667
8/1/2004,5869.541667
8/2/2004,6542.416667
8/3/2004,6637.166667
8/4/2004,6562.25
8/5/2004,5962.958333
8/6/2004,5361.958333
8/7/2004,4861.333333
8/8/2004,4818.791667
8/9/2004,5792.125
8/10/2004,6088.75
8/11/2004,6139.541667
8/12/2004,5709.083333
8/13/2004,5537.875
8/14/2004,5034.666667
8/15/2004,4989
8/16/2004,5740.541667
8/17/2004,5834.083333
8/18/2004,5998.541667
8/19/2004,6334.083333
8/20/2004,6344.958333
8/21/2004,5446.5
8/22/2004,4995.75
8/23/2004,5889.875
8/24/2004,6277.375
8/25/2004,6462.958333
8/26/2004,6298.75
8/27/2004,6548.333333
8/28/2004,6380.5
8/29/2004,6154.541667
8/30/2004,6440.708333
8/31/2004,6161.833333
9/1/2004,5959.25
9/2/2004,6057.833333
9/3/2004,5966.875
9/4/2004,5576.083333
9/5/2004,5312.375
9/6/2004,5100.916667
9/7/2004,5927.916667
9/8/2004,5996.708333
9/9/2004,5816.541667
9/10/2004,5670.083333
9/11/2004,5193.625
9/12/2004,5195.416667
9/13/2004,5899.916667
9/14/2004,5719.625
9/15/2004,5804.291667
9/16/2004,5949.791667
9/17/2004,5818.541667
9/18/2004,4892.25
9/19/2004,4627.416667
9/20/2004,5275.291667
9/21/2004,5468.625
9/22/2004,5622.375
9/23/2004,5762.208333
9/24/2004,5818.25
9/25/2004,5277.666667
9/26/2004,4933.083333
9/27/2004,5555.833333
9/28/2004,5623.291667
9/29/2004,5521
9/30/2004,5518.791667
10/1/2004,5365.625
10/2/2004,4981.708333
10/3/2004,4697.208333
10/4/2004,5319.625
10/5/2004,5349.541667
10/6/2004,5425.916667
10/7/2004,5492
10/8/2004,5367.333333
10/9/2004,4931.541667
10/10/2004,4723.666667
10/11/2004,5406.75
10/12/2004,5515.875
10/13/2004,5584.416667
10/14/2004,5485.5
10/15/2004,5393.541667
10/16/2004,5114.208333
10/17/2004,5038.208333
10/18/2004,5793.083333
10/19/2004,5599.041667
10/20/2004,5591.333333
10/21/2004,5603.25
10/22/2004,5479.791667
10/23/2004,5167.666667
10/24/2004,5057.208333
10/25/2004,5546.291667
10/26/2004,5576.708333
10/27/2004,5530.708333
10/28/2004,5476.875
10/29/2004,5411.833333
10/30/2004,4909.041667
10/31/2004,4743.869565
11/1/2004,5403.625
11/2/2004,5507
11/3/2004,5471.458333
11/4/2004,5775.166667
11/5/2004,5703.041667
11/6/2004,5250.458333
11/7/2004,4886.041667
11/8/2004,5643.208333
11/9/2004,6063.791667
11/10/2004,6088.833333
11/11/2004,5730.833333
11/12/2004,5837.833333
11/13/2004,5551.541667
11/14/2004,5543.916667
11/15/2004,6059.375
11/16/2004,5916.958333
11/17/2004,5801.5
11/18/2004,5657.25
11/19/2004,5548.958333
11/20/2004,5171.041667
11/21/2004,5060.25
11/22/2004,5684.333333
11/23/2004,5735.541667
11/24/2004,5650.708333
11/25/2004,5066.583333
11/26/2004,5569.875
11/27/2004,5368.708333
11/28/2004,5285.791667
11/29/2004,5953.75
11/30/2004,6076.125
12/1/2004,6074.208333
12/2/2004,6359.375
12/3/2004,6383.791667
12/4/2004,6078.958333
12/5/2004,5607.875
12/6/2004,6215.541667
12/7/2004,6084.375
12/8/2004,5964.458333
12/9/2004,6308.666667
12/10/2004,6002.625
12/11/2004,5743.541667
12/12/2004,5898.416667
12/13/2004,6571.25
12/14/2004,6968.291667
12/15/2004,7133.583333
12/16/2004,7059.5
12/17/2004,6551.875
12/18/2004,6371.75
12/19/2004,6444.083333
12/20/2004,7237.3125
12/21/2004,7139.25
12/22/2004,6377.458333
12/23/2004,6150.416667
12/24/2004,6346.416667
12/25/2004,6264.166667
12/26/2004,6430.541667
12/27/2004,6934.333333
12/28/2004,7016.333333
12/29/2004,6326.208333
12/30/2004,6128.375
12/31/2004,5540
1/1/2005,4975.208333
1/2/2005,5294.916667
1/3/2005,5836.416667
1/4/2005,5771.458333
1/5/2005,6110.166667
1/6/2005,6232.833333
1/7/2005,6314.333333
1/8/2005,5904.5
1/9/2005,5718.833333
1/10/2005,6308.083333
1/11/2005,6427.625
1/12/2005,6087.666667
1/13/2005,5816.208333
1/14/2005,6092.333333
1/15/2005,6381.583333
1/16/2005,6344.75
1/17/2005,7474.208333
1/18/2005,7831
1/19/2005,7708.208333
1/20/2005,7073.708333
1/21/2005,7389.291667
1/22/2005,7034.875
1/23/2005,6874.5
1/24/2005,7565.958333
1/25/2005,7495.708333
1/26/2005,7025.5
1/27/2005,7458.458333
1/28/2005,7697.5
1/29/2005,6692.916667
1/30/2005,6461.083333
1/31/2005,7046.958333
2/1/2005,6971.166667
2/2/2005,6903.875
2/3/2005,6682.458333
2/4/2005,6476.375
2/5/2005,6017.791667
2/6/2005,5788.291667
2/7/2005,6142.458333
2/8/2005,6064.333333
2/9/2005,6009.083333
2/10/2005,6588.291667
2/11/2005,7049
2/12/2005,6240.458333
2/13/2005,5870.041667
2/14/2005,6458.5
2/15/2005,6060.583333
2/16/2005,6203.208333
2/17/2005,6665.333333
2/18/2005,7131
2/19/2005,6662.583333
2/20/2005,6193.833333
2/21/2005,6342.458333
2/22/2005,6281.708333
2/23/2005,6388.291667
2/24/2005,6939.875
2/25/2005,6712.208333
2/26/2005,6338.291667
2/27/2005,6160.833333
2/28/2005,6797.583333
3/1/2005,6837.541667
3/2/2005,7108.875
3/3/2005,7111.166667
3/4/2005,6894.583333
3/5/2005,6090
3/6/2005,5765.375
3/7/2005,5904.416667
3/8/2005,6625.666667
3/9/2005,7139.916667
3/10/2005,6829.833333
3/11/2005,6524.166667
3/12/2005,6164.375
3/13/2005,5903.083333
3/14/2005,6458.708333
3/15/2005,6524.833333
3/16/2005,6452.791667
3/17/2005,6306.208333
3/18/2005,6138.125
3/19/2005,5571.458333
3/20/2005,5425.416667
3/21/2005,6165.416667
3/22/2005,6127.333333
3/23/2005,6177.416667
3/24/2005,6297.75
3/25/2005,5901.75
3/26/2005,5653
3/27/2005,5350
3/28/2005,6069.041667
3/29/2005,5866.375
3/30/2005,5718.083333
3/31/2005,5671.958333
4/1/2005,5511.416667
4/2/2005,5381.791667
4/3/2005,5629
4/4/2005,5845.541667
4/5/2005,5688.458333
4/6/2005,5475.708333
4/7/2005,5417.458333
4/8/2005,5297.833333
4/9/2005,4922.416667
4/10/2005,4757.291667
4/11/2005,5340.958333
